Features,Strength
"(4, 7, 9, 11, 15, 16)",142.65216064453125
"(3, 7, 15, 16)",142.3763671875
"(4, 5, 7, 9, 15)",142.2843994140625
"(1, 5, 8, 10, 11, 15)",142.05338134765626
"(3, 8, 9, 15, 16)",142.043212890625
"(10, 11, 13, 15)",141.524462890625
"(7, 8, 10, 11, 12, 15)",141.33887939453126
"(4, 5, 6, 8, 9, 11, 12, 16)",140.87708740234376
"(2, 3, 8, 12, 13)",140.59954833984375
"(3, 4, 10, 11, 12, 13, 15)",140.34044189453124
"(6, 8, 14)",140.12732543945313
"(1, 2, 3, 4, 8, 11, 14, 16)",140.0461181640625
"(3, 8, 9, 12, 15, 16)",139.9643798828125
"(6, 8, 10, 15)",139.48729248046874
"(8, 9, 10, 15)",139.13814239501954
"(5, 9, 10, 11, 15)",138.931201171875
"(1, 2, 3, 4, 8, 11, 12, 14, 16)",138.92054443359376
"(2, 3, 7, 15, 16)",138.86826171875
"(8, 9, 12, 13, 15)",138.66484375
"(1, 4, 8, 9, 10, 13)",138.530078125
"(1, 4, 6, 7, 8, 10, 11, 12, 15)",138.38526611328126
"(5, 9, 15)",138.36798706054688
"(1, 4, 8, 12)",138.28695068359374
"(1, 4, 8, 9, 10, 13, 14)",138.05294189453124
"(10, 11, 13, 14)",137.81619873046876
"(1, 4, 5, 6, 7, 8, 12, 15)",137.6038818359375
"(6, 9, 15, 16)",136.8408203125038
"(1, 2, 4, 6, 7, 8, 10, 11, 12, 15)",136.33570556640626
"(1, 2, 4, 5, 7, 10)",136.328857421875
"(1, 4, 5, 6, 7, 8, 12, 13, 15)",136.0768310546875
"(5, 9, 10, 11, 16)",135.89595947265624
"(3, 5, 6, 8, 9, 10, 11, 13, 15, 16)",135.559423828125
"(5, 6, 7, 8, 9, 10)",135.5585205078125
"(3, 4, 5, 6, 7, 9, 12, 15)",135.29066162109376
"(1, 5, 6, 8, 9, 12)",135.22744140625
"(2, 6, 13)",135.0557861328125
"(6, 10, 11, 13, 14)",135.0103515625
"(8, 11, 13, 15)",134.605029296875
"(3, 4, 8, 10, 13, 15)",134.16563720703124
"(5, 7, 8, 10)",133.9014404296875
"(3, 4, 5, 6, 8, 9, 11, 12, 13, 15)",133.589990234375
"(2, 11, 13)",133.48721923828126
"(10, 11, 12, 15)",133.32589111328124
"(2, 7, 15)",133.0681396484375
"(5, 9, 10, 11, 12)",132.79541015625
"(2, 10)",132.52147216798284
"(6, 8, 12, 15, 16)",132.3968505859375
"(7, 10, 11, 14, 15)",132.3397216796875
"(1, 2, 5, 11, 12, 15)",132.04427490234374
"(1, 2, 5, 8, 9, 10, 11, 13)",131.810205078125
"(1, 5, 6, 8, 9, 12, 16)",131.48819580078126
"(6, 7, 8, 10, 13)",131.2736083984375
"(5, 7, 11, 13, 14, 15)",131.17110595703124
"(7, 8, 16)",131.129638671875
"(1, 5, 7, 8, 10, 15)",131.10257568359376
"(1, 5, 8, 12, 15)",130.7826141357422
"(1, 3, 7, 8, 9, 11, 12, 13, 14, 15)",130.7798095703125
"(2, 3, 8, 10, 12, 13, 15)",130.7512451171875
"(2, 7, 10, 11, 13, 14)",130.7239013671875
"(2, 7, 10, 11, 12, 13, 14)",130.7158447265625
"(7, 15, 16)",130.6861572265625
"(1, 2, 5, 8, 9, 10, 11, 13, 14)",130.6066162109375
"(1, 2, 3, 4, 5, 8, 11, 12, 14, 16)",130.4604736328125
"(7, 8, 9, 13, 15)",130.440966796875
"(6, 7, 10, 11, 12, 15, 16)",130.332275390625
"(7, 9, 15, 16)",129.706982421875
"(7, 8, 10, 14)",129.50181884765624
"(3, 9, 10)",129.3933349609375
"(6, 7, 11, 14, 16)",129.34149169921875
"(6, 10, 11, 12, 15)",129.22530517578124
"(1, 5, 9, 12, 13)",129.18333740234374
"(2, 6, 12, 13)",129.096728515625
"(6, 8, 10, 11, 15)",129.0350341796875
"(3, 4, 8, 10, 11, 13, 15)",128.8701904296875
"(7, 8, 9, 10, 11, 12)",128.8265380859375
